Date/Time,roomTemp (deg C),defroStat,compStat,evapStat
22-04-2024 11:05,1,ON,OFF,OFF
22-04-2024 11:10,10.7,OFF,OFF,OFF
22-04-2024 11:39,-12.9,OFF,ON,ON
22-04-2024 12:08,-15.2,OFF,ON,ON
22-04-2024 12:37,-16.1,OFF,ON,ON
22-04-2024 13:06,-15.5,OFF,ON,ON
22-04-2024 13:35,-16.4,OFF,ON,ON
22-04-2024 14:04,-0.6,ON,OFF,OFF
22-04-2024 14:20,-0.1,OFF,ON,ON
22-04-2024 14:49,-14,OFF,ON,ON
22-04-2024 15:18,-15.7,OFF,ON,ON
22-04-2024 15:47,-12.9,OFF,ON,ON
22-04-2024 16:16,-14.3,OFF,ON,ON
22-04-2024 16:45,-15.3,OFF,ON,ON
22-04-2024 17:49,-13.6,OFF,ON,ON
22-04-2024 19:14,-0.2,OFF,OFF,OFF
22-04-2024 19:43,-11.6,OFF,ON,ON
22-04-2024 20:12,-12.8,OFF,ON,ON
22-04-2024 20:41,-14.6,OFF,ON,ON
22-04-2024 21:10,-15.6,OFF,ON,ON
22-04-2024 21:39,-16.4,OFF,ON,ON
22-04-2024 22:08,-15.5,OFF,ON,ON
22-04-2024 22:14,-15.9,ON,OFF,OFF
22-04-2024 22:43,2.9,OFF,ON,OFF
22-04-2024 23:12,-14.3,OFF,ON,ON
22-04-2024 23:41,-15.9,OFF,ON,ON
23-04-2024 00:10,-16.7,OFF,ON,ON
23-04-2024 00:39,-17.2,OFF,ON,ON
23-04-2024 01:08,-17.7,OFF,ON,ON
23-04-2024 01:34,11.8,OFF,OFF,OFF
23-04-2024 02:03,-14.7,OFF,ON,ON
23-04-2024 02:32,-16.7,OFF,ON,ON
23-04-2024 03:01,-17.6,OFF,ON,ON
23-04-2024 03:30,-18.2,OFF,ON,ON
23-04-2024 03:59,-18.6,OFF,ON,ON
23-04-2024 04:28,1.1,ON,OFF,OFF
23-04-2024 04:57,-14.7,OFF,ON,ON
23-04-2024 05:26,-17.3,OFF,ON,ON
23-04-2024 05:55,-18.4,OFF,ON,ON
23-04-2024 06:24,-19,OFF,ON,ON
23-04-2024 06:53,-9.7,OFF,ON,ON
23-04-2024 07:22,-2.7,ON,OFF,OFF
23-04-2024 07:34,14.8,OFF,OFF,OFF
23-04-2024 08:03,-8.1,OFF,ON,ON
23-04-2024 08:32,-9.8,OFF,ON,ON
23-04-2024 09:01,-12.6,OFF,ON,ON
23-04-2024 09:30,-14.2,OFF,ON,ON
23-04-2024 09:59,-15.3,OFF,ON,ON
23-04-2024 10:28,-0.3,ON,OFF,OFF
